*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=daisychain_hub --pi
*Date=16:03:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
105;;;3.81;-35.3216;0;Bottom;Copper Fill79
106;;;5.842;-18.8751;0;Bottom;Copper Fill110
107;;;1.5748;-30.267;0;Bottom;Copper Fill84
108;;;1.651;-44.2751;0;Bottom;Copper Fill52
109;;;1.5748;-50.587;0;Bottom;Copper Fill5
110;;;3.81;-12.4616;0;Bottom;Copper Fill103
111;;;1.5748;-30.267;0;Bottom;Copper Fill21
112;;THT;10.7407;-20.3898;0;Bottom;J7
113;;;3.81;-9.9216;0;Bottom;Copper Fill44
114;;;5.0165;-57.8006;0;Bottom;Copper Fill113
115;;;1.5748;-22.647;0;Bottom;Copper Fill91
116;;;12.2716;-13.9823;0;Bottom;TXT2
117;;;3.81;-42.9416;0;Bottom;Copper Fill12
118;;;3.81;-15.0016;0;Bottom;Copper Fill100
119;;;1.5748;-32.807;0;Bottom;Copper Fill19
120;;;6.71359;-26.3979;0;Bottom;TXT2
121;;;23.9951;-21.5602;0;Bottom;TXT2
122;;;1.5748;-55.667;0;Bottom;Copper Fill1
123;;THT;20.9407;-19.0798;0;Bottom;J8
124;;;1.5748;-35.347;0;Bottom;Copper Fill17
125;;;21.6281;-63.0584;0;Bottom;Copper Fill116
126;;;1.5748;-25.187;0;Bottom;Copper Fill27
127;;;11.6611;-59.1825;-90;Bottom;TXT2
128;;;1.5748;-17.567;0;Bottom;Copper Fill96
129;;;1.651;-23.9551;0;Bottom;Copper Fill111
130;;;1.5748;-53.127;0;Bottom;Copper Fill3
131;;;3.81;-32.7816;0;Bottom;Copper Fill82
132;;;9.8298;-15.281;0;Bottom;Copper Fill99
133;;;3.81;-53.1016;0;Bottom;Copper Fill65
134;;;1.5748;-12.487;0;Bottom;Copper Fill41
135;;;1.5748;-9.947;0;Bottom;Copper Fill43
136;;;5.0165;-57.8006;0;Bottom;Copper Fill53
137;;;12.2174;-26.9396;0;Bottom;Copper Fill25
138;;;3.81;-45.4816;0;Bottom;Copper Fill10
139;;;1.651;-23.9551;0;Bottom;Copper Fill51
140;;;14.9606;-44.3386;0;Bottom;Copper Fill59
141;;;3.81;-42.9416;0;Bottom;Copper Fill73
142;;;3.81;-20.0816;0;Bottom;Copper Fill95
143;;;12.2955;-16.4528;0;Bottom;TXT2
144;;;3.81;-37.8616;0;Bottom;Copper Fill16
145;;;20.0406;-26.7491;0;Bottom;Copper Fill46
